,FID_1,ProjectNo,Dist,AddMPOName,IDENTIFIER,IDENTIFI_1,DESC_,PROJTYPE,ESTIMPRVAS,ROUTEORDER,TYCOUNTYDI,Routeuniqu,BEGINNINGM,ENDINGMILE,TYROUTENAM,EEC_Intersection,ProjectN_1,Roadway_EEC,Final_EEC
428,438,429,5,Louisville-Southern Indiana (KIPDA) MPO,IP20130135,5-555,REDUCE CONGESTION AND IMPROVE SAFETY ALONG KY-1747 (HURSTBOURNE PARKWAY) FROM STONY BROOK DRIVE TO I-64.,CONGESTION MITIGTN(O),Modernize Roadway-Urban,1,Jefferson,056-KY-1747  -000,10.5,11.995,Existing,419.1267689,429,294.14070596066335,713.2674748606634
612,493,613,7,Lexington MPO,IP20060245,7-438,REDUCE CONGESTION ON KY-4 (NEW CIRCLE RD) FROM TRADE CENTER DR TO WOODHILL DR.,MAJOR WIDENING(O),Modernize Roadway-Rural,1,Fayette,034-KY-0004  -000,13.195,14.508,Existing,236.01267909999999,613,401.57558524,637.58826434
671,456,672,7,Lexington MPO,IP20190164,,"Address Congestion, Improve Safety, and Improve mobility on Man O War from Richmond Road to Liberty Road",Major Widening,Major Widening-Urban Streets,1,Fayette,034-CS-4524  -000,12.786,14.255,Existing,203.7577674,672,217.93405572728457,421.6918231272846
426,503,427,5,Louisville-Southern Indiana (KIPDA) MPO,IP20130129,,"Improve safety and reduce congestion on KY 44 between the I-65 interchange and the KY 61 intersection. Consider access management, pedestrian facilities and grade separated rail crossing.",Congestion Management,Access Consolidation,1,Bullitt,015-KY-0044  -000,12.215,12.94,Existing,169.2371521,427,192.819521227,362.056673327
647,652,648,7,Lexington MPO,IP20150334,7-593.03 / 7-593.30,NEWTOWN PIKE EXTENSION FROM WEST MAIN ST. TO SOUTH LIMESTONE ST. IN LEXINGTON. (ADDITIONAL FUNDING FOR DESIGN FOR CLT)(05KYD-KY095),NEW ROUTE(O),Construct Road in New Location,1,Fayette,034-US-0027  -000,6.207000000000001,6.441,Existing,245.64180209999998,648,93.67344303,339.31524513
580,435,581,6,Northern Kentucky ADD,IP20150257,6-447,IMPROVE MOBILITY AND REDUCE CONGESTION ON US-25 FROM WINNING COLORS DRIVE TO THE NORFOLK SOUTHERN RAILROAD CROSSING SOUTH OF KY-1829 (INDUSTRIAL ROAD); EXCLUDES GRADE SEPARATION AT KY-536.,MAJOR WIDENING(O),Modernize Roadway-Rural,1,Boone,008-US-0025  -000,5.085,9.2,Existing,145.8066141,581,148.91687257268228,294.72348667268227
567,818,568,6,Northern Kentucky ADD,IP20130008,6-446,PROVIDE EAST-WEST CONNECTIVITY AND IMPROVED MOBILITY FROM KY-237 (PLEASANT VALLEY ROAD) THRU KY-842 (HOPEFUL CHURCH ROAD) TO MALL ROAD/I-75 INTERCHANGE. (18CCR),NEW ROUTE(O),Construct Road in New Location,1,Boone,008-US-0042  -000,12.508,13.489,Existing,132.2431753,568,156.91810096399996,289.161276264
501,685,502,5,Louisville-Southern Indiana (KIPDA) MPO,IP20160186,5-323.01,WIDEN GREENWOOD ROAD FROM GREENBELT HWY TO DIXIE HWY (US-31W) (3-LANE IMPROVEMENT) FROM MP 0.54 TO MP 3.148. (98CCR)(R-04DEOB)(04CCR)(BOP2006P)(10CCR)(12CCR),MAJOR WIDENING(O),Install Two-way Left Turn Lane,1,Jefferson,056-KY-1931  -000,0.54,3.148,Existing,111.00676899999999,502,129.63431247800003,240.64108147800002
600,500,601,6,Northern Kentucky ADD,IP20190064,,Paired Grade-Separated Intersections along KY 18 at KY 842 and Mall Road.  (Pending CVG study),Congestion Management,,1,Boone,008-KY-0018  -000,14.5,15.1,Existing,139.39058280000003,601,89.27037973136483,228.66096253136487
802,601,803,9,Gateway ADD,IP20150436,9-301.10,NEW ROUTE FROM US-60/KY-32 EAST OF MOREHEAD TO I-64 INCLUDING A NEW INTERCHANGE. (98CCN)(08CCR)(14CCR),NEW ROUTE(O),Construct Road in New Location,1,Rowan,103-KY-0032  -000,5.4,8.4,Existing,195.888528,803,16.954720773936963,212.84324877393698
804,499,805,9,Gateway ADD,IP20160013,,Complete planning/congestion mitigation study on KY 32 at the I 64 interchange.,Congestion Management,Transportation Studies,1,Rowan,103-KY-0032  -000,3.9,6.4,Existing,167.4637058,805,32.85172629228455,200.31543209228457
670,554,671,7,Lexington MPO,IP20190163,,"Improve congestion, safety and mobility on Man O War from Liberty Road (KY 1927) to I-75",Major Widening,Major Widening-Urban Streets,1,Fayette,034-CS-4524  -000,14.255,15.241,Existing,31.56001218,671,168.26469609,199.82470827
602,729,603,6,Northern Kentucky ADD,IP20190066,,Reconstruct I-75 interchange at KY 1017 (Turfway Road).  Interchange is part of 6-79 IMR; include southbound exit.   Investigate innovative access management to Turfway Rd and Thoroughbred Blvd.,Reconstruction,,1,Boone,008-I -0075  -000,182.2,183.312,Existing,2.280370955,603,189.84678937630852,192.12716033130852
97,318,98,2,Evansville-Henderson MPO,IP20040010,,Widen Green Street to improve safety and level of service throughout the corridor.,Major Widening,Major Widening-Urban Streets,1,Henderson,051-US-0041  -000,13.235,17.397000000000002,Existing,-51.06198,98,241.63634902937196,190.57436902937195
598,678,599,6,Northern Kentucky ADD,IP20190058,,Superstreet on KY 18 from McGrath to Boone Aire Road.,Reconstruction,,1,Boone,008-KY-0018  -000,12.138,14.026,Existing,134.51670430000001,599,53.36513672131413,187.88184102131413
881,871,882,11,Cumberland Valley ADD,IP20150207,11-147 / 11-147.01,REDUCE CONGESTION ON US-25 FROM KY-1006 TO KY-2069; IMPROVE CONNECTIVITY FROM US-25 NEAR KY-2069 TO KY-229; IMPROVE KY-229 FROM THE NEW CONNECTOR NORTH TO KY-192; AND IMPROVE ACCESS TO THE SCHOOL FROM KY-192 BYPASS. (06CCR)(10CCR)(12CCR)(14CCR),MAJOR WIDENING(O),Arterial to Partial Control,1,Laurel,063-US-0025  -000,9.0,10.505,Existing,56.07349451,882,131.70997348985532,187.7834679998553
85,419,86,1,Purchase ADD,IP20190049,,Increase the directional capacity of the roadway during the daily peak travel periods.,Transportation Study,,1,McCracken,073-US-0045  -000,6.337999999999999,9.203,Existing,50.44782104,86,131.90578336100555,182.35360440100555
