Join_Count,TARGET_FID,JOIN_FID,OBJECTID,RT_UNIQUE,BEGIN_MP,END_MP,EEC,Roadway,ProjectNo,Routeuniqu,BEGINNINGMILE,ENDINGMILE
1,2,469,1314875,094-KY-0022  -000,17.901,18.0083765,6.412956655,R2L,582,094-KY-0022  -000,16.057,18.56
1,6,639,1488424,106-KY-0055  -000,1.15,1.239,8.790572356,R2L,422,106-KY-0055  -000,0,1.354
1,6,748,1488424,106-KY-0055  -000,1.15,1.239,8.790572356,R2L,424,106-KY-0055  -000,1.097,1.419
1,10,891,324203,026-US-0421  -000,15.486,15.694,9.517158711,R2L,879,026-US-0421  -000,15.5,17
1,15,475,1644421,120-KY-0169  -000,2.047,2.1011765,6.960365314,R2L,632,120-KY-0169  -000,0,3
1,17,505,850140,057-KY-1980  -000,1.526,1.72,16.16092924,R2L,655,057-KY-1980  -000,0,3.205
1,18,431,1032418,069-US-0027  -000,13.5969765,13.975,8.522384902,R2L,724,069-US-0027  -000,11.169,15.881
1,18,746,1032418,069-US-0027  -000,13.5969765,13.975,8.522384902,R2L,674,069-US-0027  -000,11.8,18
1,20,478,1118539,076-KY-0052  -000,18.918,19.098,6.001096184,R2L,622,076-KY-0052  -000,16.334,22.707
1,22,533,1102264,074-US-0027  -000,6.991,7.006,11.78260034,R2L,680,074-US-0027  -000,6.991,9.093
1,23,501,3701,001-KY-0055  -000,0.75,0.911,22.110053,R2L,679,001-KY-0055  -000,0,10.059
1,24,684,1469501,104-US-0127  -000,18.0229765,18.1349765,8.967924775,R2L,683,104-US-0127  -000,17.872,19.086
1,24,779,1469501,104-US-0127  -000,18.0229765,18.1349765,8.967924775,R2L,750,104-US-0127  -000,14.142,18.902
1,24,783,1469501,104-US-0127  -000,18.0229765,18.1349765,8.967924775,R2L,682,104-US-0127  -000,14.142,18.195
1,27,545,684256,052-KY-0055  -000,1.408,1.4269765,9.835110332,R2L,438,052-KY-0055  -000,1.408,2.21
1,35,106,17465,002-KY-0098  -000,9.99,10.073,6.087976287,R2L,258,002-KY-0098  -000,10,10.1
1,39,262,616232,047-KY-1600  -000,0.0289765,0.0808765,7.036532604,R2L,308,047-KY-1600  -000,0,3.316
1,48,252,1513142,109-KY-0210  -000,0.6,0.742,9.06645099,R2L,367,109-KY-0210  -000,0,14.148
1,52,381,288462,024-KY-0115  -000,2.5459765,2.6439765,14.0806679,R2L,117,024-KY-0115  -000,1.261,2.663
1,61,779,1469104,104-US-0127  -000,16.485,16.5989765,7.069598169,R2L,750,104-US-0127  -000,14.142,18.902
